PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate,MeanPerNight
43066,Yes,12,80,Apartment,5,26/12/2019,248.27
43065,Yes,5,100,Apartment,3,18/12/2019,146.87
43064,Yes,11,145,Apartment,5,18/01/2020,290.76
43061,Yes,6,95,Apartment,2,05/12/2019,200.05
43056,Yes,4,50,Apartment,1,25/10/2019,149.41
43055,Yes,4,55,Apartment,2,11/11/2019,171.67
43054,Yes,6,116,Apartment,2,30/10/2019,207.03
43053,Yes,2,67,Apartment,1,28/10/2019,139.8
43052,Yes,6,116,Apartment,2,31/10/2019,214.27
43051,Yes,2,65,Apartment,1,31/10/2019,150.68
43050,Yes,10,148,Apartment,3,02/11/2019,319.16
43049,Yes,8,127,Apartment,3,28/10/2019,217.73
43048,Yes,8,119,Apartment,3,20/10/2019,226.57
43041,Yes,4,50,Apartment,2,02/08/2019,128.67
43042,Yes,4,50,Apartment,2,02/08/2019,129.14
43044,Yes,4,50,Apartment,2,02/08/2019,114.12
43038,Yes,6,73,Apartment,2,13/06/2019,209.14
43037,Yes,8,106,Apartment,3,21/06/2019,231.91
43036,Yes,12,144,Apartment,4,06/06/2019,292.2
43035,Yes,6,74,Apartment,2,21/06/2019,174.98
43034,Yes,12,163,Apartment,4,14/06/2019,451.13
43033,Yes,7,80,Apartment,3,12/06/2019,189.42
43031,Yes,8,64,Apartment,3,22/05/2019,228.52
43030,Yes,8,80,Apartment,3,31/05/2019,241.43
43028,Yes,8,59,Apartment,3,24/05/2019,213.19
43026,Yes,5,110,Apartment,4,27/05/2019,214.59
43025,Yes,4,60,Apartment,2,04/05/2019,149.48
43024,Yes,4,49,Apartment,2,03/05/2019,149.92
43019,Yes,6,73,Apartment,4,02/04/2019,238.49
43093,Yes,6,68,Apartment,3,01/12/2020,240.5
43016,Yes,5,122,Apartment,3,25/02/2019,187.9
43015,Yes,5,41,Apartment,2,14/02/2019,122.05
43009,Yes,4,67,Apartment,2,02/02/2019,206.52
